id,decision,call_rate,bw42_g,sex,sire,dam,reasons,detail
G2_0001,通过,1.0,3346.156,F,G1_0326,G1_0332,,
G2_0002,通过,1.0,2997.253,F,G1_0384,G1_0027,,
G2_0003,通过,1.0,3253.184,M,G1_0406,G1_0430,,
G2_0004,通过,1.0,3208.716,F,G1_0178,G1_0390,,
G2_0005,通过,1.0,3203.594,M,G1_0384,G1_0027,,
G2_0006,拦截,1.0,3079.792,M,G1_0502,G1_0246,PED_SEX,登记父本 G1_0502 在系谱中性别为 F，与父本角色矛盾；登记母本 G1_0246 在系谱中性别为 M，与母本角色矛盾
G2_0007,通过,1.0,3098.835,F,G1_0085,G1_0162,,
G2_0008,通过,1.0,2645.613,M,G1_0361,G1_0371,,
G2_0009,通过,1.0,2977.273,F,G1_0246,G1_0502,,
G2_0010,通过,1.0,3274.225,F,G1_0010,G1_0138,,
G2_0011,通过,1.0,3166.253,M,G1_0140,G1_0455,,
G2_0012,通过,1.0,3051.119,M,G1_0205,G1_0015,,
G2_0013,通过,1.0,2392.385,F,G1_0200,G1_0519,,
G2_0014,通过,1.0,2987.931,F,G1_0202,G1_0268,,
G2_0015,通过,1.0,3058.388,F,G1_0090,G1_0497,,
G2_0016,通过,1.0,3208.458,F,G1_0011,G1_0189,,
G2_0017,通过,1.0,3182.943,M,G1_0521,G1_0495,,
G2_0018,通过,1.0,3434.887,F,G1_0409,G1_0480,,
G2_0019,通过,1.0,2727.314,M,G1_0140,G1_0462,,
G2_0020,通过,1.0,2975.841,F,G1_0205,G1_0368,,
G2_0021,通过,1.0,2887.907,M,G1_0010,G1_0239,,
G2_0022,通过,1.0,2878.145,M,G1_0152,G1_0417,,
G2_0023,通过,1.0,2837.74,M,G1_0384,G1_0027,,
G2_0024,通过,1.0,2890.753,F,G1_0158,G1_0324,,
G2_0025,通过,1.0,2634.243,F,G1_0178,G1_0135,,
G2_0026,通过,1.0,3249.683,F,G1_0170,G1_0075,,
G2_0027,通过,1.0,2784.778,F,G1_0246,G1_0502,,
G2_0028,通过,1.0,3093.772,M,G1_0163,G1_0242,,
G2_0029,通过,1.0,2892.773,M,G1_0407,G1_0345,,
G2_0030,通过,1.0,2966.151,M,G1_0152,G1_0417,,
G2_0031,拦截,0.88,2895.984,M,G1_0407,G1_0319,LOW_CALL_RATE,基因型检出率 0.880 < 阈值 0.90
G2_0032,通过,1.0,2861.97,F,G1_0267,G1_0109,,
G2_0033,通过,1.0,2652.814,M,G1_0287,G1_0305,,
G2_0034,通过,1.0,3428.838,F,G1_0358,G1_0021,,
G2_0035,通过,1.0,3397.347,M,G1_0103,G1_0415,,
G2_0036,通过,1.0,3072.746,F,G1_0246,G1_0222,,
G2_0037,通过,1.0,3183.8,M,G1_0200,G1_0519,,
G2_0038,通过,1.0,2931.606,F,G1_0433,G1_0175,,
G2_0039,通过,1.0,2664.314,F,G1_0010,G1_0239,,
G2_0040,通过,1.0,2939.687,M,G1_0358,G1_0021,,
G2_0041,通过,1.0,3145.835,M,G1_0358,G1_0339,,
G2_0042,通过,1.0,2754.636,M,G1_0467,G1_0067,,
G2_0043,通过,1.0,2390.8,F,G1_0313,G1_0176,,
G2_0044,通过,1.0,2790.917,M,G1_0183,G1_0132,,
G2_0045,通过,1.0,2787.633,M,G1_0090,G1_0473,,
G2_0046,通过,1.0,3023.471,F,G1_0407,G1_0345,,
G2_0047,通过,1.0,3031.767,F,G1_0326,G1_0332,,
G2_0048,通过,1.0,3092.397,F,G1_0267,G1_0109,,
G2_0049,通过,1.0,2869.95,F,G1_0170,G1_0373,,
G2_0050,通过,1.0,3276.578,M,G1_0407,G1_0345,,
G2_0051,拦截,0.76,2881.125,F,G1_0237,G1_0364,LOW_CALL_RATE,基因型检出率 0.760 < 阈值 0.90
G2_0052,通过,1.0,3270.038,M,G1_0010,G1_0239,,
G2_0053,通过,1.0,3197.502,M,G1_0361,G1_0371,,
G2_0054,通过,1.0,3306.58,M,G1_0521,G1_0062,,
G2_0055,通过,1.0,3154.039,F,G1_0178,G1_0135,,
G2_0056,通过,1.0,2908.549,F,G1_0287,G1_0505,,
G2_0057,通过,1.0,2975.732,M,G1_0409,G1_0480,,
G2_0058,通过,1.0,2942.751,F,G1_0163,G1_0263,,
G2_0059,通过,1.0,2873.151,M,G1_0103,G1_0198,,
G2_0060,通过,1.0,2926.109,M,G1_0085,G1_0013,,
G2_0061,通过,1.0,2794.294,M,G1_0326,G1_0332,,
G2_0062,通过,1.0,3183.287,F,G1_0158,G1_0324,,
G2_0063,通过,1.0,3436.193,M,G1_0433,G1_0078,,
G2_0064,通过,1.0,3028.502,F,G1_0407,G1_0319,,
G2_0065,通过,1.0,2955.89,F,G1_0152,G1_0417,,
G2_0066,通过,1.0,2951.857,M,G1_0407,G1_0319,,
G2_0067,拦截,1.0,3233546.221,F,G1_0407,G1_0345,PHENO_UNIT,"bw42_g=3233546.221 超界 [800,6000]；÷1000 后 = 3233.546221 落入正常范围，疑似千倍误录（单位换算错误）"
G2_0068,通过,1.0,3303.769,M,G1_0267,G1_0080,,
G2_0069,拦截,1.0,2.974,M,G1_0467,G1_0203,PHENO_UNIT,"bw42_g=2.974 超界 [800,6000]；×1000 后 = 2974 落入正常范围，疑似 kg 误录为 g"
G2_0070,通过,1.0,3014.407,F,G1_0200,G1_0519,,
G2_0071,通过,1.0,2975.466,M,G1_0361,G1_0387,,
G2_0072,通过,1.0,3641.336,M,G1_0200,G1_0206,,
G2_0073,通过,1.0,3101.283,F,G1_0163,G1_0242,,
G2_0074,通过,1.0,3107.692,M,G1_0287,G1_0305,,
G2_0075,拦截,1.0,2998.918,M,G1_0406,G1_0430,DUP_GENO_BATCH,与本批次 G2_0468 基因型一致率 1.0000，保留先送检样本 G2_0468，本样本判为重复
G2_0076,通过,1.0,3164.073,F,G1_0183,G1_0398,,
G2_0077,通过,1.0,2966.889,F,G1_0237,G1_0364,,
G2_0078,通过,1.0,2865.595,F,G1_0090,G1_0497,,
G2_0079,通过,1.0,3230.31,M,G1_0034,G1_0130,,
G2_0080,通过,1.0,2743.275,M,G1_0085,G1_0162,,
G2_0081,通过,1.0,3039.748,M,G1_0361,G1_0387,,
G2_0082,拦截,0.86,3299.014,M,G1_0183,G1_0132,LOW_CALL_RATE,基因型检出率 0.860 < 阈值 0.90
G2_0083,通过,1.0,3172.051,F,G1_0407,G1_0345,,
G2_0084,通过,1.0,3292.484,M,G1_0103,G1_0415,,
G2_0085,通过,1.0,3079.441,M,G1_0010,G1_0239,,
G2_0086,通过,1.0,3226.758,F,G1_0200,G1_0206,,
G2_0087,通过,1.0,3241.444,M,G1_0358,G1_0021,,
G2_0088,通过,1.0,2975.791,M,G1_0424,G1_0350,,
G2_0089,通过,1.0,3258.782,F,G1_0036,G1_0404,,
G2_0090,通过,1.0,2949.68,F,G1_0011,G1_0189,,
G2_0091,拦截,1.0,3054.194,F,G1_0361,G1_99999,PED_PARENT_UNKNOWN,登记母本 G1_99999 不在参考群系谱登记中
G2_0092,通过,1.0,2919.9,M,G1_0183,G1_0398,,
G2_0093,通过,1.0,2946.762,F,G1_0246,G1_0222,,
G2_0094,通过,1.0,3455.883,F,G1_0085,G1_0162,,
G2_0095,通过,1.0,3296.379,F,G1_0384,G1_0027,,
G2_0096,通过,1.0,3252.506,F,G1_0011,G1_0189,,
G2_0097,通过,1.0,3239.968,M,G1_0152,G1_0171,,
G2_0098,拦截,1.0,3053.823,M,G1_0163,G1_0390,PED_MENDEL,与登记父本 G1_0163 对立纯合率 7.68%（5000 个可比位点）> 阈值 1%
G2_0099,通过,1.0,2936.032,M,G1_0158,G1_0456,,
G2_0100,通过,1.0,2987.529,M,G1_0267,G1_0109,,
G2_0101,通过,1.0,2985.532,F,G1_0406,G1_0023,,
G2_0102,通过,1.0,3258.484,M,G1_0205,G1_0368,,
G2_0103,通过,1.0,3473.448,M,G1_0178,G1_0135,,
G2_0104,通过,1.0,3523.831,M,G1_0406,G1_0430,,
G2_0105,通过,1.0,2648.781,M,G1_0326,G1_0300,,
G2_0106,通过,1.0,2726.675,M,G1_0326,G1_0300,,
G2_0107,通过,1.0,3100.23,M,G1_0202,G1_0268,,
G2_0108,通过,1.0,2755.48,F,G1_0034,G1_0091,,
G2_0109,通过,1.0,3040.947,M,G1_0202,G1_0385,,
G2_0110,通过,1.0,3530.631,M,G1_0202,G1_0268,,
G2_0111,通过,1.0,2998.9,M,G1_0103,G1_0198,,
G2_0112,通过,1.0,3149.761,M,G1_0433,G1_0175,,
G2_0113,通过,1.0,3067.535,M,G1_0521,G1_0495,,
G2_0114,通过,1.0,3303.416,M,G1_0409,G1_0179,,
G2_0115,通过,1.0,3154.041,M,G1_0036,G1_0404,,
G2_0116,通过,1.0,3047.456,M,G1_0313,G1_0342,,
G2_0117,通过,1.0,2850.263,M,G1_0521,G1_0062,,
G2_0118,通过,1.0,3432.086,F,G1_0521,G1_0495,,
G2_0119,通过,1.0,3149.008,F,G1_0521,G1_0062,,
G2_0120,通过,1.0,2775.572,F,G1_0200,G1_0519,,
G2_0121,通过,1.0,2744.74,F,G1_0384,G1_0027,,
G2_0122,通过,1.0,3128.743,M,G1_0152,G1_0171,,
G2_0123,通过,1.0,3016.705,F,G1_0467,G1_0203,,
G2_0124,通过,1.0,3081.15,F,G1_0267,G1_0109,,
G2_0125,通过,1.0,3466.66,M,G1_0152,G1_0171,,
G2_0126,通过,1.0,3239.73,F,G1_0433,G1_0175,,
G2_0127,拦截,1.0,2998.974,F,G1_0170,G2_0523,PED_GENERATION,登记母本 G2_0523 属于本到货批次，不可能是上代亲本（代际矛盾）
G2_0128,通过,1.0,3320.583,F,G1_0287,G1_0505,,
G2_0129,通过,1.0,2873.885,F,G1_0406,G1_0430,,
