id,tbv,true_sire,true_dam,inject_status
G1_0048,226.411,G0_1387,G0_0422,clean
G1_0348,223.68,G0_0167,G0_1727,clean
G1_0015,139.287,G0_0826,G0_0869,clean
G1_0334,258.515,G0_0841,G0_0933,clean
G1_0175,145.1,G0_0473,G0_0579,clean
G1_0452,206.286,G0_0596,G0_0364,clean
G1_0224,-52.62,G0_1315,G0_0060,clean
G1_0263,347.105,G0_1061,G0_1651,clean
G1_0270,127.264,G0_1157,G0_1686,clean
G1_0059,166.504,G0_0523,G0_0507,clean
G1_0332,395.969,G0_0826,G0_1731,clean
G1_0105,131.325,G0_1318,G0_1098,clean
G1_0242,516.807,G0_1061,G0_1651,clean
G1_0080,54.508,G0_1051,G0_0264,clean
G1_0189,223.535,G0_1923,G0_0722,clean
G1_0141,180.292,G0_1318,G0_0111,clean
G1_0235,16.889,G0_0846,G0_0663,clean
G1_0396,96.914,G0_0914,G0_0108,low_call_rate
G1_0097,-10.749,G0_0517,G0_1225,low_call_rate
G1_0346,93.368,G0_1314,G0_0266,clean
G1_0476,-50.899,G0_0304,G0_1856,clean
G1_0304,85.607,G0_0198,G0_0454,clean
G1_0378,-39.963,G0_0166,G0_1666,clean
G1_0006,65.445,G0_0166,G0_1666,clean
G1_0094,99.717,G0_0523,G0_0912,clean
G1_0353,108.279,G0_0576,G0_1327,clean
G1_0257,46.172,G0_1051,G0_0264,clean
G1_0161,260.967,G0_0198,G0_0010,clean
G1_0031,116.597,G0_1051,G0_0381,clean
G1_0126,-28.211,G0_1978,G0_0285,pheno_unit_error
G1_0360,171.015,G0_0517,G0_1650,clean
G1_0149,84.999,G0_0846,G0_0411,clean
G1_0368,349.847,G0_0473,G0_0579,clean
G1_0445,69.328,G0_1318,G0_1098,clean
G1_0100,131.658,G0_0523,G0_0912,clean
G1_0291,-20.879,G0_0576,G0_1197,clean
G1_0061,132.469,G0_0120,G0_0849,clean
G1_0409,83.177,G0_1150,G0_1800,clean
G1_0388,37.683,G0_1978,G0_0285,clean
G1_0230,-134.071,G0_0304,G0_1375,clean
G1_0403,111.578,G0_0167,G0_1271,clean
G1_0073,200.884,G0_1923,G0_1966,clean
G1_0214,40.138,G0_1978,G0_0633,clean
G1_0123,-178.311,G0_0304,G0_1856,clean
G1_0258,97.553,G0_0342,G0_0580,clean
