id,tbv,true_sire,true_dam,inject_status
G2_0511,219.912,G1_0433,G1_0175,clean
G2_0031,168.063,G1_0407,G1_0319,low_call_rate
G2_0487,189.634,G1_0090,G1_0473,clean
G2_0346,287.657,G1_0433,G1_0078,clean
G2_0001,477.632,G1_0326,G1_0332,clean
G2_0077,229.97,G1_0237,G1_0364,clean
G2_0197,407.667,G1_0152,G1_0171,clean
G2_0173,300.058,G1_0170,G1_0373,clean
G2_0196,252.885,G1_0163,G1_0263,low_call_rate
G2_0225,155.368,G1_0424,G1_0441,clean
G2_0083,307.352,G1_0407,G1_0345,clean
G2_0408,350.611,G1_0010,G1_0138,clean
G2_0275,479.054,G1_0200,G1_0206,clean
G2_0514,302.984,G1_0267,G1_0109,clean
G2_0243,99.15,G1_0158,G1_0456,clean
G2_0256,39.782,G1_0433,G1_0078,clean
G2_0306,289.059,G1_0406,G1_0430,clean
G2_0461,370.536,G1_0085,G1_0013,clean
G2_0401,403.444,G1_0158,G1_0456,clean
G2_0047,462.322,G1_0326,G1_0332,clean
G2_0103,383.389,G1_0178,G1_0135,clean
G2_0014,9.871,G1_0202,G1_0268,clean
G2_0164,367.575,G1_0010,G1_0138,clean
G2_0041,189.084,G1_0358,G1_0339,clean
G2_0066,263.783,G1_0407,G1_0319,clean
G2_0389,-27.212,G1_0467,G1_0067,clean
G2_0152,188.98,G1_0521,G1_0495,clean
G2_0213,23.286,G1_0409,G1_0480,clean
G2_0488,361.846,G1_0103,G1_0198,low_call_rate
G2_0404,98.551,G1_0200,G1_0206,clean
G2_0294,220.1,G1_0103,G1_0198,clean
G2_0290,321.945,G1_0521,G1_0062,clean
G2_0009,209.191,G1_0246,G1_0502,clean
G2_0034,283.602,G1_0358,G1_0021,clean
G2_0207,342.334,G1_0170,G1_0075,clean
G2_0425,-68.52,G1_0424,G1_0441,clean
G2_0343,412.171,G1_0011,G1_0068,clean
G2_0056,202.142,G1_0287,G1_0505,clean
G2_0061,407.305,G1_0326,G1_0332,clean
G2_0063,332.641,G1_0433,G1_0078,clean
G2_0292,77.064,G1_0285,G1_0003,pedigree_conflict
G2_0361,105.45,G1_0036,G1_0404,clean
G2_0326,5.64,G1_0409,G1_0480,clean
G2_0503,239.816,G1_0090,G1_0497,clean
G2_0136,280.086,G1_0140,G1_0455,clean
G2_0426,1.083,G1_0248,G1_0447,clean
G2_0198,-42.672,G1_0183,G1_0132,clean
G2_0154,367.244,G1_0140,G1_0455,clean
G2_0362,360.249,G1_0152,G1_0171,clean
G2_0321,321.098,G1_0326,G1_0300,clean
