id,bw42_g,submitted_at
G2_0001,3346.156,2026-08-25T11:16:00
G2_0002,2997.253,2026-08-25T16:34:00
G2_0003,3253.184,2026-08-25T14:15:00
G2_0004,3208.716,2026-08-25T12:41:00
G2_0005,3203.594,2026-08-25T13:46:00
G2_0006,3079.792,2026-08-25T11:36:00
G2_0007,3098.835,2026-08-25T15:31:00
G2_0008,2645.613,2026-08-25T11:38:00
G2_0009,2977.273,2026-08-25T16:31:00
G2_0010,3274.225,2026-08-25T10:28:00
G2_0011,3166.253,2026-08-25T15:45:00
G2_0012,3051.119,2026-08-25T10:13:00
G2_0013,2392.385,2026-08-25T17:33:00
G2_0014,2987.931,2026-08-25T13:52:00
G2_0015,3058.388,2026-08-25T16:56:00
G2_0016,3208.458,2026-08-25T11:04:00
G2_0017,3182.943,2026-08-25T14:45:00
G2_0018,3434.887,2026-08-25T10:39:00
G2_0019,2727.314,2026-08-25T16:30:00
G2_0020,2975.841,2026-08-25T08:05:00
G2_0021,2887.907,2026-08-25T08:55:00
G2_0022,2878.145,2026-08-25T12:34:00
G2_0023,2837.74,2026-08-25T08:12:00
G2_0024,2890.753,2026-08-25T17:33:00
G2_0025,2634.243,2026-08-25T16:48:00
G2_0026,3249.683,2026-08-25T10:45:00
G2_0027,2784.778,2026-08-25T12:48:00
G2_0028,3093.772,2026-08-25T13:59:00
G2_0029,2892.773,2026-08-25T12:27:00
G2_0030,2966.151,2026-08-25T12:15:00
G2_0031,2895.984,2026-08-25T13:52:00
G2_0032,2861.97,2026-08-25T12:35:00
G2_0033,2652.814,2026-08-25T15:22:00
G2_0034,3428.838,2026-08-25T09:33:00
G2_0035,3397.347,2026-08-25T15:55:00
G2_0036,3072.746,2026-08-25T16:12:00
G2_0037,3183.8,2026-08-25T10:31:00
G2_0038,2931.606,2026-08-25T13:02:00
G2_0039,2664.314,2026-08-25T17:29:00
G2_0040,2939.687,2026-08-25T14:19:00
G2_0041,3145.835,2026-08-25T15:16:00
G2_0042,2754.636,2026-08-25T17:01:00
G2_0043,2390.8,2026-08-25T08:53:00
G2_0044,2790.917,2026-08-25T09:46:00
G2_0045,2787.633,2026-08-25T17:39:00
G2_0046,3023.471,2026-08-25T14:15:00
G2_0047,3031.767,2026-08-25T08:06:00
G2_0048,3092.397,2026-08-25T16:17:00
G2_0049,2869.95,2026-08-25T12:03:00
G2_0050,3276.578,2026-08-25T11:17:00
G2_0051,2881.125,2026-08-25T08:41:00
G2_0052,3270.038,2026-08-25T17:52:00
G2_0053,3197.502,2026-08-25T13:28:00
G2_0054,3306.58,2026-08-25T10:51:00
G2_0055,3154.039,2026-08-25T15:27:00
G2_0056,2908.549,2026-08-25T08:38:00
G2_0057,2975.732,2026-08-25T15:53:00
G2_0058,2942.751,2026-08-25T16:34:00
G2_0059,2873.151,2026-08-25T17:30:00
G2_0060,2926.109,2026-08-25T16:59:00
G2_0061,2794.294,2026-08-25T10:49:00
G2_0062,3183.287,2026-08-25T16:19:00
G2_0063,3436.193,2026-08-25T13:46:00
G2_0064,3028.502,2026-08-25T15:55:00
G2_0065,2955.89,2026-08-25T11:27:00
G2_0066,2951.857,2026-08-25T15:18:00
G2_0067,3233546.221,2026-08-25T14:32:00
G2_0068,3303.769,2026-08-25T17:40:00
G2_0069,2.974,2026-08-25T13:51:00
G2_0070,3014.407,2026-08-25T13:06:00
G2_0071,2975.466,2026-08-25T12:47:00
G2_0072,3641.336,2026-08-25T08:06:00
G2_0073,3101.283,2026-08-25T17:21:00
G2_0074,3107.692,2026-08-25T09:05:00
G2_0075,2998.918,2026-08-25T17:27:00
G2_0076,3164.073,2026-08-25T11:20:00
G2_0077,2966.889,2026-08-25T17:12:00
G2_0078,2865.595,2026-08-25T13:58:00
G2_0079,3230.31,2026-08-25T17:52:00
G2_0080,2743.275,2026-08-25T11:48:00
G2_0081,3039.748,2026-08-25T13:19:00
G2_0082,3299.014,2026-08-25T14:49:00
G2_0083,3172.051,2026-08-25T13:03:00
G2_0084,3292.484,2026-08-25T09:45:00
G2_0085,3079.441,2026-08-25T08:24:00
G2_0086,3226.758,2026-08-25T13:21:00
G2_0087,3241.444,2026-08-25T14:38:00
G2_0088,2975.791,2026-08-25T08:08:00
G2_0089,3258.782,2026-08-25T16:17:00
G2_0090,2949.68,2026-08-25T09:55:00
G2_0091,3054.194,2026-08-25T13:44:00
G2_0092,2919.9,2026-08-25T11:21:00
G2_0093,2946.762,2026-08-25T16:14:00
G2_0094,3455.883,2026-08-25T14:53:00
G2_0095,3296.379,2026-08-25T15:11:00
G2_0096,3252.506,2026-08-25T14:49:00
G2_0097,3239.968,2026-08-25T13:31:00
G2_0098,3053.823,2026-08-25T08:32:00
G2_0099,2936.032,2026-08-25T16:48:00
G2_0100,2987.529,2026-08-25T16:23:00
G2_0101,2985.532,2026-08-25T10:55:00
G2_0102,3258.484,2026-08-25T16:56:00
G2_0103,3473.448,2026-08-25T08:32:00
G2_0104,3523.831,2026-08-25T15:43:00
G2_0105,2648.781,2026-08-25T09:17:00
G2_0106,2726.675,2026-08-25T10:22:00
G2_0107,3100.23,2026-08-25T11:53:00
G2_0108,2755.48,2026-08-25T14:06:00
G2_0109,3040.947,2026-08-25T13:46:00
G2_0110,3530.631,2026-08-25T10:49:00
G2_0111,2998.9,2026-08-25T09:34:00
G2_0112,3149.761,2026-08-25T15:34:00
G2_0113,3067.535,2026-08-25T17:28:00
G2_0114,3303.416,2026-08-25T14:09:00
G2_0115,3154.041,2026-08-25T09:39:00
G2_0116,3047.456,2026-08-25T12:48:00
G2_0117,2850.263,2026-08-25T13:41:00
G2_0118,3432.086,2026-08-25T11:18:00
G2_0119,3149.008,2026-08-25T17:39:00
G2_0120,2775.572,2026-08-25T16:16:00
G2_0121,2744.74,2026-08-25T08:42:00
G2_0122,3128.743,2026-08-25T16:08:00
G2_0123,3016.705,2026-08-25T15:42:00
G2_0124,3081.15,2026-08-25T10:15:00
G2_0125,3466.66,2026-08-25T10:27:00
G2_0126,3239.73,2026-08-25T17:08:00
G2_0127,2998.974,2026-08-25T08:06:00
G2_0128,3320.583,2026-08-25T11:00:00
G2_0129,2873.885,2026-08-25T08:41:00
G2_0130,2900.699,2026-08-25T13:21:00
G2_0131,2908.511,2026-08-25T11:33:00
G2_0132,3064.39,2026-08-25T16:09:00
G2_0133,3206.641,2026-08-25T09:20:00
G2_0134,2850.724,2026-08-25T16:59:00
G2_0135,3086.195,2026-08-25T12:20:00
G2_0136,3276.566,2026-08-25T17:35:00
G2_0137,2922.856,2026-08-25T11:26:00
G2_0138,2778.697,2026-08-25T17:31:00
G2_0139,3409.939,2026-08-25T14:54:00
G2_0140,2752.966,2026-08-25T09:15:00
G2_0141,3492163.233,2026-08-25T14:09:00
G2_0142,3261.511,2026-08-25T11:01:00
G2_0143,2790.917,2026-08-25T08:43:00
G2_0144,2954.812,2026-08-25T10:20:00
G2_0145,3084.043,2026-08-25T09:03:00
G2_0146,3097.09,2026-08-25T13:42:00
G2_0147,3403.68,2026-08-25T13:29:00
G2_0148,2968.066,2026-08-25T14:35:00
G2_0149,3220.118,2026-08-25T16:47:00
G2_0150,3321.768,2026-08-25T17:55:00
G2_0151,2768.455,2026-08-25T12:16:00
G2_0152,3080.874,2026-08-25T08:01:00
G2_0153,2955.359,2026-08-25T12:34:00
G2_0154,2930.252,2026-08-25T12:43:00
G2_0155,3006.05,2026-08-25T09:39:00
G2_0156,3002.154,2026-08-25T17:02:00
G2_0157,3137.88,2026-08-25T13:19:00
G2_0158,3184.749,2026-08-25T16:40:00
G2_0159,3117.549,2026-08-25T13:24:00
G2_0160,3321.242,2026-08-25T10:01:00
G2_0161,2989.762,2026-08-25T16:51:00
G2_0162,2846.074,2026-08-25T14:45:00
G2_0163,3016.91,2026-08-25T10:01:00
G2_0164,3063.638,2026-08-25T10:29:00
G2_0165,2878.772,2026-08-25T12:33:00
G2_0166,3096.3,2026-08-25T12:06:00
G2_0167,3039.847,2026-08-25T14:40:00
G2_0168,3275.967,2026-08-25T13:26:00
G2_0169,2938.051,2026-08-25T16:00:00
G2_0170,2961.106,2026-08-25T09:19:00
G2_0171,2993.803,2026-08-25T11:55:00
G2_0172,3298.165,2026-08-25T11:28:00
G2_0173,2998.561,2026-08-25T11:50:00
G2_0174,2618.74,2026-08-25T08:05:00
G2_0175,3208.376,2026-08-25T12:54:00
G2_0176,2646.913,2026-08-25T14:14:00
G2_0177,2993.787,2026-08-25T12:22:00
G2_0178,2829.58,2026-08-25T10:46:00
G2_0179,2295.207,2026-08-25T08:02:00
G2_0180,2797.58,2026-08-25T14:11:00
G2_0181,3362.824,2026-08-25T11:36:00
G2_0182,2937.197,2026-08-25T16:45:00
G2_0183,2877.212,2026-08-25T11:37:00
G2_0184,2971.71,2026-08-25T12:27:00
G2_0185,3422.201,2026-08-25T16:37:00
G2_0186,3129.228,2026-08-25T12:45:00
G2_0187,3070.54,2026-08-25T09:10:00
G2_0188,2911.396,2026-08-25T14:34:00
G2_0189,3206.455,2026-08-25T10:18:00
G2_0190,2981.884,2026-08-25T15:55:00
G2_0191,3289.655,2026-08-25T09:27:00
G2_0192,3126.7,2026-08-25T13:54:00
G2_0193,2855.904,2026-08-25T14:46:00
G2_0194,2703.372,2026-08-25T08:08:00
G2_0195,2951.214,2026-08-25T09:01:00
G2_0196,3630.37,2026-08-25T08:46:00
G2_0197,3180.249,2026-08-25T09:42:00
G2_0198,2414.263,2026-08-25T11:07:00
G2_0199,3017.857,2026-08-25T11:21:00
G2_0200,3006.307,2026-08-25T12:08:00
G2_0201,2925.747,2026-08-25T08:51:00
G2_0202,3197.998,2026-08-25T12:35:00
G2_0203,3317.472,2026-08-25T17:04:00
G2_0204,3153.922,2026-08-25T14:09:00
G2_0205,3269.628,2026-08-25T12:01:00
G2_0206,2914.064,2026-08-25T12:27:00
G2_0207,3312.058,2026-08-25T15:07:00
G2_0208,2971.974,2026-08-25T13:03:00
G2_0209,3439.017,2026-08-25T13:45:00
G2_0210,2929.391,2026-08-25T13:02:00
G2_0211,2638.727,2026-08-25T09:05:00
G2_0212,3164.47,2026-08-25T10:37:00
G2_0213,2737.027,2026-08-25T10:16:00
G2_0214,2725.35,2026-08-25T08:02:00
G2_0215,2686.759,2026-08-25T12:31:00
G2_0216,3030.657,2026-08-25T17:13:00
G2_0217,2941.411,2026-08-25T14:14:00
G2_0218,3230.344,2026-08-25T17:13:00
G2_0219,3566.874,2026-08-25T10:00:00
G2_0220,2786.596,2026-08-25T16:29:00
G2_0221,3079.364,2026-08-25T17:59:00
G2_0222,2964.571,2026-08-25T08:09:00
G2_0223,2765.566,2026-08-25T17:41:00
G2_0224,3401.687,2026-08-25T16:29:00
G2_0225,2910.685,2026-08-25T13:46:00
G2_0226,3121.787,2026-08-25T16:50:00
G2_0227,3152.769,2026-08-25T12:33:00
G2_0228,3041.909,2026-08-25T12:50:00
G2_0229,2744.019,2026-08-25T11:28:00
G2_0230,2.966,2026-08-25T09:28:00
G2_0231,2706.655,2026-08-25T08:56:00
G2_0232,2909.254,2026-08-25T14:53:00
G2_0233,3274.67,2026-08-25T15:27:00
G2_0234,3154.868,2026-08-25T10:48:00
G2_0235,3126.032,2026-08-25T08:21:00
G2_0236,3257.946,2026-08-25T09:33:00
G2_0237,2523.196,2026-08-25T14:18:00
G2_0238,3122.597,2026-08-25T14:14:00
G2_0239,2808.775,2026-08-25T10:25:00
G2_0240,2989.487,2026-08-25T09:55:00
G2_0241,2554.982,2026-08-25T09:23:00
G2_0242,3318.107,2026-08-25T15:57:00
G2_0243,2991.254,2026-08-25T08:23:00
G2_0244,2984.431,2026-08-25T12:48:00
G2_0245,3159.245,2026-08-25T11:10:00
G2_0246,2562.643,2026-08-25T10:34:00
G2_0247,3363.851,2026-08-25T09:50:00
G2_0248,3323.605,2026-08-25T15:48:00
G2_0249,3162.41,2026-08-25T13:30:00
G2_0250,3157.462,2026-08-25T15:05:00
G2_0251,3214.632,2026-08-25T09:15:00
G2_0252,2542.141,2026-08-25T10:52:00
G2_0253,2992.846,2026-08-25T11:00:00
G2_0254,2856.886,2026-08-25T10:13:00
G2_0255,3000.264,2026-08-25T17:39:00
G2_0256,2619.579,2026-08-25T12:46:00
G2_0257,3263.515,2026-08-25T13:23:00
G2_0258,2463.255,2026-08-25T10:56:00
G2_0259,3369.191,2026-08-25T17:14:00
G2_0260,2630.769,2026-08-25T15:07:00
G2_0261,2904.052,2026-08-25T10:31:00
G2_0262,3252.453,2026-08-25T10:15:00
G2_0263,2827.464,2026-08-25T13:28:00
G2_0264,3293.583,2026-08-25T11:09:00
G2_0265,3093.19,2026-08-25T13:28:00
G2_0266,2582.055,2026-08-25T15:29:00
G2_0267,2998.435,2026-08-25T15:04:00
G2_0268,3150.645,2026-08-25T16:57:00
G2_0269,2840.08,2026-08-25T14:45:00
G2_0270,3035.202,2026-08-25T16:36:00
G2_0271,2678.041,2026-08-25T15:47:00
G2_0272,3024.966,2026-08-25T10:37:00
G2_0273,3157.599,2026-08-25T16:02:00
G2_0274,2689.484,2026-08-25T15:54:00
