id,decision,call_rate,bw42_g,sex,sire,dam,reasons,detail
G1_0001,通过,1.0,2923.225,F,G0_0832,G0_0708,,
G1_0002,通过,1.0,2585.222,F,G0_1315,G0_0872,,
G1_0003,通过,1.0,3036.377,F,G0_0296,G0_0141,,
G1_0004,通过,1.0,2906.929,M,G0_1419,G0_1301,,
G1_0005,通过,1.0,3351.572,M,G0_1464,G0_1967,,
G1_0006,通过,1.0,3114.078,M,G0_0166,G0_1666,,
G1_0007,通过,1.0,2550.32,M,G0_0296,G0_0141,,
G1_0008,通过,1.0,3288.947,M,G0_1510,G0_1364,,
G1_0009,通过,1.0,2992.863,M,G0_0198,G0_0454,,
G1_0010,通过,1.0,2757.325,M,G0_1061,G0_1651,,
G1_0011,通过,1.0,2897.625,M,G0_0296,G0_0520,,
G1_0012,通过,1.0,3079.659,M,G0_0167,G0_1526,,
G1_0013,通过,1.0,3107.778,F,G0_1614,G0_1276,,
G1_0014,通过,1.0,2821.861,M,G0_0576,G0_1327,,
G1_0015,通过,1.0,2867.617,F,G0_0826,G0_0869,,
G1_0016,通过,1.0,2751.989,M,G0_1387,G0_1605,,
G1_0017,通过,1.0,2620.277,M,G0_0610,G0_0935,,
G1_0018,通过,1.0,3242.89,M,G0_0120,G0_0053,,
G1_0019,通过,1.0,3245.554,M,G0_0610,G0_0935,,
G1_0020,通过,1.0,2947.301,M,G0_0846,G0_0411,,
G1_0021,通过,1.0,3006.113,F,G0_0296,G0_1130,,
G1_0022,通过,1.0,3150.108,M,G0_1683,G0_1120,,
G1_0023,通过,1.0,3328.127,F,G0_1597,G0_0293,,
G1_0024,通过,1.0,2505.499,F,G0_0576,G0_1888,,
G1_0025,通过,1.0,2686.381,M,G0_1597,G0_1180,,
G1_0026,通过,1.0,2993.44,M,G0_0332,G0_0018,,
G1_0027,通过,1.0,3054.945,F,G0_1683,G0_1193,,
G1_0028,拦截,0.89,2847.482,M,G0_0766,G0_1491,LOW_CALL_RATE,基因型检出率 0.890 < 阈值 0.90
G1_0029,通过,1.0,3222.763,M,G0_0610,G0_0935,,
G1_0030,通过,1.0,2475.826,F,G0_1150,G0_0934,,
G1_0031,通过,1.0,2678.977,M,G0_1051,G0_0381,,
G1_0032,通过,1.0,2801.393,M,G0_1051,G0_0381,,
G1_0033,通过,1.0,3117.721,F,G0_0304,G0_1375,,
G1_0034,通过,1.0,2901.215,M,G0_1464,G0_1967,,
G1_0035,通过,1.0,3191.569,M,G0_1510,G0_0686,,
G1_0036,通过,1.0,3031.935,M,G0_1157,G0_1827,,
G1_0037,通过,1.0,2932.937,M,G0_0993,G0_0838,,
G1_0038,通过,1.0,3068.284,F,G0_1387,G0_1605,,
G1_0039,拦截,1.0,2.807,M,G0_0517,G0_1225,PHENO_UNIT,"bw42_g=2.807 超界 [800,6000]；×1000 后 = 2807 落入正常范围，疑似 kg 误录为 g"
G1_0040,拦截,1.0,2678.375,M,G0_1356,G0_99999,PED_PARENT_UNKNOWN,登记母本 G0_99999 不在参考群系谱登记中
G1_0041,通过,1.0,2482.98,M,G0_0167,G0_1727,,
G1_0042,通过,1.0,3117.716,M,G0_0166,G0_0355,,
G1_0043,通过,1.0,2857.926,F,G0_0198,G0_0374,,
G1_0044,通过,1.0,2801.546,M,G0_0296,G0_1130,,
G1_0045,通过,1.0,2990.791,M,G0_1683,G0_0189,,
G1_0046,通过,1.0,2586.141,F,G0_1318,G0_1909,,
G1_0047,通过,1.0,2854.681,F,G0_1419,G0_1301,,
G1_0048,通过,1.0,3056.935,M,G0_1387,G0_0422,,
