rank,sire,sire_gebv,dam,dam_gebv,expected_progeny_gebv,expected_progeny_F,carrier_note
1,G1_0334,289.14,G1_0332,340.33,314.73,0.0182,
2,G1_0334,289.14,G1_0502,310.62,299.88,-0.0161,母本LR2携带
3,G1_0334,289.14,G1_0242,300.94,295.04,0.0422,
4,G1_0334,289.14,G1_0027,299.68,294.41,-0.0243,
5,G1_0334,289.14,G1_0390,298.39,293.76,-0.0258,母本LR2携带
6,G1_0178,271.0,G1_0505,293.3,282.15,0.0081,
7,G1_0334,289.14,G1_0171,258.5,273.82,-0.0148,
8,G1_0334,289.14,G1_0364,257.97,273.55,0.0229,
9,G1_0334,289.14,G1_0023,251.89,270.51,-0.0185,
10,G1_0178,271.0,G1_0342,262.02,266.51,-0.0011,
11,G1_0247,271.17,G1_0189,249.58,260.37,0.0097,
12,G1_0247,271.17,G1_0430,246.44,258.81,-0.0357,
13,G1_0247,271.17,G1_0138,243.57,257.37,-0.0104,
14,G1_0247,271.17,G1_0305,242.68,256.92,0.0051,
15,G1_0247,271.17,G1_0162,242.25,256.71,-0.0259,
16,G1_0247,271.17,G1_0203,241.61,256.39,-0.0161,
17,G1_0247,271.17,G1_0345,232.36,251.76,-0.0222,
18,G1_0247,271.17,G1_0387,231.81,251.49,0.001,
19,G1_0178,271.0,G1_0456,229.82,250.41,-0.0217,母本LR2携带
20,G1_0178,271.0,G1_0368,225.32,248.16,-0.0092,母本LR2携带
21,G1_0178,271.0,G1_0473,217.62,244.31,-0.0011,
22,G1_0313,256.39,G1_0198,230.26,243.32,0.0054,母本LR1携带
23,G1_0178,271.0,G1_0067,215.01,243.01,-0.0088,
24,G1_0178,271.0,G1_0468,210.35,240.68,0.0002,
25,G1_0178,271.0,G1_0360,208.04,239.52,0.0286,
26,G1_0313,256.39,G1_0462,205.3,230.85,0.047,
27,G1_0313,256.39,G1_0447,190.47,223.43,-0.0057,
28,G1_0313,256.39,G1_0263,189.19,222.79,-0.0153,
29,G1_0313,256.39,G1_0015,185.07,220.73,-0.0051,
30,G1_0313,256.39,G1_0415,184.73,220.56,0.0434,母本LR2携带
31,G1_0313,256.39,G1_0176,182.68,219.54,0.0244,
32,G1_0313,256.39,G1_0021,178.46,217.42,-0.0321,
33,G1_0440,251.38,G1_0295,174.26,212.82,0.024,父本LR2携带
34,G1_0440,251.38,G1_0319,174.04,212.71,0.0016,母本LR1携带、父本LR2携带
35,G1_0440,251.38,G1_0222,171.14,211.26,0.0165,父本LR2携带
36,G1_0152,250.54,G1_0175,171.94,211.24,-0.0019,
37,G1_0440,251.38,G1_0497,169.61,210.5,-0.0381,父本LR2携带
38,G1_0440,251.38,G1_0455,169.35,210.37,0.0141,父本LR2携带
39,G1_0440,251.38,G1_0268,169.2,210.29,0.0112,父本LR2携带
40,G1_0440,251.38,G1_0350,168.87,210.13,0.0323,父本LR2携带
41,G1_0440,251.38,G1_0371,167.33,209.35,0.0026,父本LR2携带
42,G1_0152,250.54,G1_0417,166.9,208.72,-0.0283,
43,G1_0152,250.54,G1_0300,166.33,208.44,-0.0173,母本LR2携带
44,G1_0152,250.54,G1_0075,165.34,207.94,-0.0033,母本LR1携带
45,G1_0152,250.54,G1_0003,164.73,207.64,-0.0042,
46,G1_0152,250.54,G1_0398,161.16,205.85,0.0184,
47,G1_0152,250.54,G1_0109,161.15,205.84,-0.0224,
48,G1_0152,250.54,G1_0091,156.39,203.46,0.0331,
49,G1_0377,246.44,G1_0339,153.15,199.8,0.0099,
50,G1_0377,246.44,G1_0385,152.69,199.57,-0.0018,
51,G1_0377,246.44,G1_0309,152.23,199.33,-0.011,
52,G1_0377,246.44,G1_0130,150.23,198.34,0.0597,
53,G1_0377,246.44,G1_0321,149.69,198.06,0.0008,母本LR1携带
54,G1_0377,246.44,G1_0239,149.0,197.72,-0.022,
55,G1_0377,246.44,G1_0135,148.37,197.41,0.0084,
56,G1_0377,246.44,G1_0062,147.69,197.06,-0.0218,母本LR1携带、母本LR2携带
57,G1_0116,232.94,G1_0495,153.86,193.4,0.0043,父本LR2携带
58,G1_0116,232.94,G1_0078,147.03,189.99,-0.0122,父本LR2携带
59,G1_0116,232.94,G1_0404,146.65,189.8,-0.0375,父本LR2携带
60,G1_0116,232.94,G1_0068,146.31,189.63,0.0266,父本LR2携带
61,G1_0116,232.94,G1_0013,145.63,189.29,-0.0063,父本LR2携带
62,G1_0116,232.94,G1_0373,144.18,188.56,-0.0096,父本LR2携带
63,G1_0116,232.94,G1_0179,140.39,186.67,-0.0001,父本LR2携带
64,G1_0116,232.94,G1_0080,138.1,185.52,-0.0283,父本LR2携带
65,G1_0384,231.07,G1_0441,137.68,184.37,0.0071,母本LR2携带
66,G1_0315,232.15,G1_0324,136.5,184.32,-0.0205,父本LR2携带
67,G1_0315,232.15,G1_0206,136.22,184.19,-0.0334,父本LR2携带
68,G1_0315,232.15,G1_0480,134.88,183.51,-0.0139,父本LR2携带
69,G1_0315,232.15,G1_0132,134.57,183.36,-0.0045,父本LR2携带
70,G1_0384,231.07,G1_0519,133.88,182.48,0.0299,母本LR1携带
71,G1_0315,232.15,G1_0498,132.52,182.34,-0.0386,父本LR2携带
72,G1_0315,232.15,G1_0038,132.21,182.18,0.0056,父本LR2携带
73,G1_0315,232.15,G1_0437,130.5,181.32,0.01,父本LR2携带
74,G1_0315,232.15,G1_0060,129.93,181.04,0.0218,父本LR2携带
75,G1_0406,231.69,G1_0514,128.7,180.2,-0.0089,父本LR2携带
76,G1_0406,231.69,G1_0122,127.36,179.53,0.0339,父本LR2携带
77,G1_0406,231.69,G1_0253,126.08,178.88,0.0284,父本LR2携带
78,G1_0406,231.69,G1_0074,124.89,178.29,-0.0282,父本LR2携带
79,G1_0406,231.69,G1_0286,123.47,177.58,0.0085,父本LR2携带
80,G1_0384,231.07,G1_0340,123.45,177.26,-0.0028,母本LR2携带
81,G1_0406,231.69,G1_0352,121.29,176.49,0.0215,父本LR2携带
