idx,id,sex,sire,dam,gebv,gebv_percentile,carrier_LR1,carrier_LR2
314,G1_0332,F,G0_0826,G0_1731,340.327,100.0,-,-
472,G1_0502,F,G0_0517,G0_1294,310.622,99.8,-,携带
228,G1_0242,F,G0_1061,G0_1651,300.941,99.6,-,-
26,G1_0027,F,G0_1683,G0_1193,299.676,99.4,-,-
371,G1_0390,F,G0_0473,G0_0839,298.39,99.2,-,携带
475,G1_0505,F,G0_0841,G0_0093,293.297,99.0,-,-
316,G1_0334,M,G0_0841,G0_0933,289.137,98.8,-,-
233,G1_0247,M,G0_0841,G0_0248,271.165,98.6,-,-
168,G1_0178,M,G0_1061,G0_1651,271.002,98.4,-,-
324,G1_0342,F,G0_0841,G0_1608,262.02,98.2,-,-
161,G1_0171,F,G0_0473,G0_0839,258.499,98.0,-,-
346,G1_0364,F,G0_0167,G0_1526,257.97,97.8,-,-
296,G1_0313,M,G0_1419,G0_1991,256.39,97.6,-,-
22,G1_0023,F,G0_1597,G0_0293,251.891,97.4,-,-
419,G1_0440,M,G0_0473,G0_0579,251.383,97.2,-,携带
143,G1_0152,M,G0_0523,G0_0507,250.54,97.0,-,-
179,G1_0189,F,G0_1923,G0_0722,249.584,96.8,-,-
409,G1_0430,F,G0_0198,G0_0989,246.445,96.6,-,-
359,G1_0377,M,G0_0841,G0_1608,246.441,96.4,-,-
129,G1_0138,F,G0_1923,G0_1899,243.572,96.2,-,-
288,G1_0305,F,G0_1314,G0_1527,242.676,96.0,-,-
153,G1_0162,F,G0_1923,G0_1393,242.253,95.8,-,-
191,G1_0203,F,G0_1683,G0_0386,241.613,95.6,-,-
108,G1_0116,M,G0_1315,G0_1305,232.945,95.4,-,携带
327,G1_0345,F,G0_0198,G0_0010,232.361,95.2,-,-
298,G1_0315,M,G0_1157,G0_0713,232.15,95.0,-,携带
368,G1_0387,F,G0_0826,G0_1420,231.812,94.8,-,-
386,G1_0406,M,G0_1464,G0_1967,231.691,94.6,-,携带
365,G1_0384,M,G0_1157,G0_0713,231.067,94.4,-,-
187,G1_0198,F,G0_0846,G0_0480,230.26,94.2,携带,-
432,G1_0456,F,G0_0473,G0_1406,229.823,94.0,-,携带
83,G1_0090,M,G0_1978,G0_1538,229.216,93.8,-,-
34,G1_0036,M,G0_1157,G0_1827,225.444,93.6,-,-
343,G1_0361,M,G0_0841,G0_0248,225.318,93.4,-,-
350,G1_0368,F,G0_0473,G0_0579,225.317,93.2,-,携带
492,G1_0523,M,G0_1683,G0_1120,224.188,93.0,-,-
184,G1_0194,M,G0_1157,G0_0713,222.522,92.8,-,-
78,G1_0085,M,G0_0332,G0_1333,221.676,92.6,-,-
44,G1_0048,M,G0_1387,G0_0422,218.635,92.4,-,-
445,G1_0473,F,G0_1510,G0_0661,217.622,92.2,-,-
308,G1_0326,M,G0_1314,G0_1527,217.597,92.0,-,-
41,G1_0045,M,G0_1683,G0_0189,215.355,91.8,-,-
274,G1_0290,M,G0_1419,G0_0101,215.279,91.6,-,-
61,G1_0067,F,G0_1356,G0_0762,215.009,91.4,-,-
348,G1_0366,M,G0_1978,G0_0633,213.761,91.2,-,-
199,G1_0211,M,G0_0596,G0_0883,212.789,91.0,-,-
442,G1_0468,F,G0_1387,G0_0999,210.355,90.8,-,-
342,G1_0360,F,G0_0517,G0_1650,208.043,90.6,-,-
437,G1_0462,F,G0_0841,G0_0933,205.302,90.4,-,-
235,G1_0249,M,G0_0167,G0_1526,204.232,90.2,-,-
396,G1_0416,M,G0_1597,G0_1180,200.825,90.0,-,-
256,G1_0271,M,G0_1356,G0_0996,199.876,89.8,-,-
80,G1_0087,M,G0_1356,G0_0842,199.22,89.6,-,-
183,G1_0193,M,G0_0766,G0_0567,198.837,89.4,-,-
480,G1_0511,M,G0_0832,G0_0708,197.344,89.2,-,-
152,G1_0161,M,G0_0198,G0_0010,196.364,89.0,-,-
404,G1_0424,M,G0_1683,G0_0189,194.499,88.8,-,-
190,G1_0202,M,G0_1314,G0_0090,192.22,88.6,-,-
127,G1_0136,M,G0_0826,G0_1420,191.866,88.4,-,-
424,G1_0447,F,G0_1510,G0_1364,190.471,88.2,-,-
232,G1_0246,M,G0_0342,G0_1136,190.044,88.0,-,-
248,G1_0263,F,G0_1061,G0_1651,189.186,87.8,-,-
14,G1_0015,F,G0_0826,G0_0869,185.066,87.6,-,-
395,G1_0415,F,G0_1464,G0_1182,184.734,87.4,-,携带
7,G1_0008,M,G0_1510,G0_1364,184.072,87.2,-,-
21,G1_0022,M,G0_1683,G0_1120,183.363,87.0,-,-
18,G1_0019,M,G0_0610,G0_0935,182.732,86.8,-,-
166,G1_0176,F,G0_0846,G0_0663,182.684,86.6,-,-
455,G1_0483,M,G0_1683,G0_0386,182.101,86.4,-,-
106,G1_0114,M,G0_1387,G0_1605,182.019,86.2,-,-
148,G1_0157,M,G0_1387,G0_1867,181.331,86.0,-,-
20,G1_0021,F,G0_0296,G0_1130,178.459,85.8,-,-
412,G1_0433,M,G0_1464,G0_1897,178.448,85.6,携带,-
340,G1_0358,M,G0_1157,G0_1827,177.579,85.4,-,-
389,G1_0409,M,G0_1150,G0_1800,177.065,85.2,-,-
490,G1_0521,M,G0_0517,G0_1294,174.843,85.0,-,携带
160,G1_0170,M,G0_0766,G0_0557,174.567,84.8,-,-
265,G1_0281,M,G0_1061,G0_1199,174.48,84.6,-,-
278,G1_0295,F,G0_0198,G0_0454,174.259,84.4,-,-
302,G1_0319,F,G0_0517,G0_0270,174.042,84.2,携带,-
165,G1_0175,F,G0_0473,G0_0579,171.937,84.0,-,-
4,G1_0005,M,G0_1464,G0_1967,171.904,83.8,携带,携带
271,G1_0287,M,G0_1614,G0_0019,171.244,83.6,-,-
210,G1_0222,F,G0_0914,G0_0462,171.144,83.4,-,-
467,G1_0497,F,G0_1923,G0_1316,169.611,83.2,-,-
431,G1_0455,F,G0_0523,G0_0284,169.352,83.0,-,-
253,G1_0268,F,G0_0296,G0_0141,169.203,82.8,-,-
332,G1_0350,F,G0_0596,G0_0883,168.87,82.6,-,-
113,G1_0121,M,G0_0914,G0_1917,168.163,82.4,-,-
367,G1_0386,M,G0_0473,G0_1406,167.874,82.2,-,携带
353,G1_0371,F,G0_1061,G0_0428,167.326,82.0,-,-
252,G1_0267,M,G0_0235,G0_1861,167.231,81.8,携带,-
397,G1_0417,F,G0_1157,G0_1519,166.896,81.6,-,-
283,G1_0300,F,G0_1157,G0_0713,166.331,81.4,-,携带
58,G1_0063,M,G0_0832,G0_1759,165.784,81.2,-,-
69,G1_0075,F,G0_0914,G0_0462,165.335,81.0,携带,-
2,G1_0003,F,G0_0296,G0_0141,164.733,80.8,-,-
364,G1_0383,M,G0_0198,G0_0374,164.015,80.6,-,-
317,G1_0335,M,G0_1464,G0_1967,163.439,80.4,携带,-
9,G1_0010,M,G0_1061,G0_1651,163.294,80.2,-,-
131,G1_0140,M,G0_1614,G0_0574,162.7,80.0,-,-
188,G1_0200,M,G0_0342,G0_1239,162.506,79.8,携带,-
193,G1_0205,M,G0_0841,G0_1414,161.214,79.6,-,携带
378,G1_0398,F,G0_0304,G0_1375,161.162,79.4,-,-
101,G1_0109,F,G0_1923,G0_1899,161.15,79.2,-,-
149,G1_0158,M,G0_0304,G0_1856,157.587,79.0,-,-
285,G1_0302,M,G0_1356,G0_0996,157.273,78.8,-,-
387,G1_0407,M,G0_0596,G0_1438,156.99,78.6,-,-
84,G1_0091,F,G0_1150,G0_1334,156.386,78.4,-,-
98,G1_0106,M,G0_0332,G0_1333,155.928,78.2,-,-
369,G1_0388,M,G0_1978,G0_0285,155.561,78.0,-,-
465,G1_0495,F,G0_0841,G0_0248,153.856,77.8,-,-
321,G1_0339,F,G0_1314,G0_1532,153.15,77.6,-,-
357,G1_0375,M,G0_0120,G0_0053,153.121,77.4,携带,携带
366,G1_0385,F,G0_0167,G0_1526,152.693,77.2,-,-
292,G1_0309,F,G0_1978,G0_0285,152.226,77.0,-,-
121,G1_0130,F,G0_0198,G0_0374,150.231,76.8,-,-
303,G1_0321,F,G0_0235,G0_1861,149.685,76.6,携带,-
226,G1_0239,F,G0_1683,G0_0386,148.997,76.4,-,-
126,G1_0135,F,G0_1387,G0_0950,148.371,76.2,-,-
57,G1_0062,F,G0_1464,G0_1967,147.689,76.0,携带,携带
337,G1_0355,M,G0_0523,G0_0284,147.441,75.8,-,-
72,G1_0078,F,G0_0993,G0_1877,147.032,75.6,-,-
241,G1_0255,M,G0_0846,G0_0480,146.906,75.4,-,-
384,G1_0404,F,G0_1051,G0_0216,146.653,75.2,-,-
441,G1_0467,M,G0_0517,G0_0270,146.609,75.0,-,-
62,G1_0068,F,G0_0517,G0_1225,146.309,74.8,-,-
12,G1_0013,F,G0_1614,G0_1276,145.626,74.6,-,-
224,G1_0237,M,G0_0826,G0_0061,144.343,74.4,-,-
355,G1_0373,F,G0_0993,G0_1877,144.183,74.2,-,-
173,G1_0183,M,G0_0166,G0_1666,142.934,74.0,-,携带
46,G1_0050,M,G0_0120,G0_0282,141.375,73.8,-,-
169,G1_0179,F,G0_1387,G0_1605,140.389,73.6,-,-
269,G1_0285,M,G0_1419,G0_0101,139.206,73.4,携带,-
10,G1_0011,M,G0_0296,G0_0520,138.257,73.2,-,-
73,G1_0080,F,G0_1051,G0_0264,138.103,73.0,-,-
95,G1_0103,M,G0_1387,G0_0999,137.773,72.8,-,-
420,G1_0441,F,G0_0120,G0_0116,137.675,72.6,-,携带
306,G1_0324,F,G0_1923,G0_1899,136.495,72.4,-,-
194,G1_0206,F,G0_0517,G0_1294,136.222,72.2,-,-
234,G1_0248,M,G0_1314,G0_0090,135.802,72.0,-,-
24,G1_0025,M,G0_1597,G0_1180,135.672,71.8,-,-
478,G1_0509,M,G0_0826,G0_0869,135.274,71.6,-,-
452,G1_0480,F,G0_1419,G0_0379,134.876,71.4,-,-
123,G1_0132,F,G0_0167,G0_1526,134.569,71.2,-,-
488,G1_0519,F,G0_1464,G0_1182,133.885,71.0,携带,-
154,G1_0163,M,G0_0841,G0_1608,133.786,70.8,-,-
32,G1_0034,M,G0_1464,G0_1967,133.368,70.6,携带,-
60,G1_0066,M,G0_0610,G0_1056,133.24,70.4,-,-
94,G1_0102,M,G0_0826,G0_0061,132.989,70.2,-,-
468,G1_0498,F,G0_1356,G0_0996,132.523,70.0,-,-
36,G1_0038,F,G0_1387,G0_1605,132.212,69.8,-,-
459,G1_0488,M,G0_0332,G0_1415,132.139,69.6,携带,-
416,G1_0437,F,G0_0166,G0_0355,130.495,69.4,-,-
227,G1_0241,M,G0_1614,G0_0574,130.201,69.2,-,-
55,G1_0060,F,G0_0166,G0_1096,129.927,69.0,-,-
162,G1_0172,M,G0_1683,G0_0386,129.527,68.8,-,-
483,G1_0514,F,G0_1978,G0_1538,128.702,68.6,-,-
297,G1_0314,M,G0_0517,G0_1294,128.528,68.4,-,携带
320,G1_0338,M,G0_0523,G0_0284,127.595,68.2,-,-
114,G1_0122,F,G0_0596,G0_0364,127.363,68.0,-,-
38,G1_0042,M,G0_0166,G0_0355,126.296,67.8,-,-
239,G1_0253,F,G0_1683,G0_0386,126.078,67.6,-,-
407,G1_0427,M,G0_1464,G0_1182,126.073,67.4,-,携带
117,G1_0125,M,G0_1318,G0_1643,125.977,67.2,-,-
163,G1_0173,M,G0_1157,G0_1686,125.369,67.0,-,-
68,G1_0074,F,G0_1157,G0_1519,124.89,66.8,-,-
276,G1_0292,M,G0_0610,G0_0055,124.625,66.6,-,-
270,G1_0286,F,G0_0914,G0_0462,123.472,66.4,-,-
322,G1_0340,F,G0_1318,G0_1909,123.448,66.2,-,携带
477,G1_0507,M,G0_1464,G0_0435,123.412,66.0,携带,携带
122,G1_0131,M,G0_0517,G0_1294,122.78,65.8,-,-
5,G1_0006,M,G0_0166,G0_1666,122.063,65.6,-,携带
261,G1_0276,M,G0_1150,G0_0934,121.831,65.4,-,-
334,G1_0352,F,G0_1318,G0_0615,121.292,65.2,-,-
185,G1_0196,M,G0_1683,G0_0386,120.912,65.0,-,-
414,G1_0435,M,G0_1978,G0_1995,120.611,64.8,-,-
50,G1_0054,M,G0_1315,G0_0872,119.979,64.6,-,携带
59,G1_0065,M,G0_1419,G0_0101,119.973,64.4,-,-
155,G1_0165,M,G0_0342,G0_1136,119.875,64.2,-,-
96,G1_0104,M,G0_0596,G0_0883,119.674,64.0,-,-
142,G1_0151,M,G0_0523,G0_0284,118.827,63.8,-,-
66,G1_0072,M,G0_1614,G0_0019,118.514,63.6,-,-
206,G1_0218,F,G0_0993,G0_0051,117.905,63.4,-,携带
281,G1_0298,M,G0_1419,G0_1533,117.872,63.2,-,-
331,G1_0349,M,G0_0120,G0_0282,117.798,63.0,-,-
458,G1_0487,M,G0_1978,G0_1860,117.231,62.8,-,-
280,G1_0297,M,G0_1387,G0_1605,116.745,62.6,-,-
336,G1_0354,F,G0_1314,G0_1532,116.541,62.4,-,-
138,G1_0147,M,G0_0296,G0_1130,116.459,62.2,-,-
354,G1_0372,M,G0_0342,G0_0370,116.118,62.0,-,-
40,G1_0044,M,G0_0296,G0_1130,116.089,61.8,-,-
258,G1_0273,F,G0_0841,G0_0248,115.996,61.6,-,-
201,G1_0213,M,G0_1387,G0_1867,115.991,61.4,-,携带
31,G1_0033,F,G0_0304,G0_1375,114.931,61.2,-,-
85,G1_0092,F,G0_0596,G0_0883,114.839,61.0,-,-
454,G1_0482,F,G0_0826,G0_1731,114.153,60.8,-,-
99,G1_0107,F,G0_1464,G0_1967,112.631,60.6,携带,-
284,G1_0301,M,G0_1315,G0_1305,112.077,60.4,-,-
3,G1_0004,M,G0_1419,G0_1301,112.045,60.2,-,-
11,G1_0012,M,G0_0167,G0_1526,111.986,60.0,-,-
422,G1_0443,M,G0_1318,G0_1643,111.98,59.8,-,-
167,G1_0177,M,G0_0523,G0_0912,111.719,59.6,-,-
381,G1_0401,F,G0_0766,G0_0557,111.575,59.4,-,-
450,G1_0478,F,G0_1356,G0_0996,111.5,59.2,-,-
376,G1_0395,M,G0_0596,G0_1438,111.036,59.0,-,-
247,G1_0262,M,G0_1150,G0_1800,110.756,58.8,-,-
151,G1_0160,F,G0_0826,G0_0061,110.54,58.6,-,-
56,G1_0061,F,G0_0120,G0_0849,110.363,58.4,-,携带
307,G1_0325,F,G0_0914,G0_1917,110.006,58.2,-,-
379,G1_0399,F,G0_1419,G0_1991,109.405,58.0,-,-
339,G1_0357,F,G0_1464,G0_0435,109.071,57.8,-,携带
19,G1_0020,M,G0_0846,G0_0411,108.722,57.6,-,-
418,G1_0439,M,G0_1318,G0_1909,108.622,57.4,-,携带
170,G1_0180,M,G0_1597,G0_0191,108.362,57.2,-,-
289,G1_0306,F,G0_1510,G0_0686,107.68,57.0,-,-
351,G1_0369,M,G0_1597,G0_0191,107.253,56.8,-,-
64,G1_0070,M,G0_1978,G0_1538,107.213,56.6,-,-
150,G1_0159,M,G0_1923,G0_1966,105.787,56.4,携带,-
112,G1_0120,F,G0_0596,G0_1438,105.768,56.2,-,-
67,G1_0073,F,G0_1923,G0_1966,105.745,56.0,携带,-
91,G1_0099,M,G0_0517,G0_1902,105.646,55.8,-,-
249,G1_0264,F,G0_1157,G0_0713,105.587,55.6,-,-
461,G1_0490,F,G0_0914,G0_0108,105.414,55.4,-,-
333,G1_0351,F,G0_1387,G0_0999,105.287,55.2,-,-
157,G1_0167,M,G0_0198,G0_0454,105.071,55.0,-,-
27,G1_0029,M,G0_0610,G0_0935,104.945,54.8,-,-
390,G1_0410,F,G0_1614,G0_0574,104.582,54.6,-,-
267,G1_0283,M,G0_0832,G0_0329,104.062,54.4,-,-
330,G1_0348,M,G0_0167,G0_1727,103.386,54.2,-,携带
496,G1_0527,F,G0_0523,G0_0800,102.099,54.0,-,-
171,G1_0181,M,G0_0610,G0_0055,101.525,53.8,-,-
116,G1_0124,M,G0_0167,G0_1271,100.663,53.6,-,-
363,G1_0382,M,G0_1419,G0_0101,100.661,53.4,-,-
202,G1_0214,M,G0_1978,G0_0633,100.107,53.2,-,-
460,G1_0489,M,G0_0846,G0_0663,99.894,53.0,-,-
75,G1_0082,F,G0_0523,G0_0912,98.79,52.8,-,-
428,G1_0452,F,G0_0596,G0_0364,98.194,52.6,-,-
299,G1_0316,F,G0_0628,G0_1433,98.044,52.4,-,-
124,G1_0133,M,G0_1387,G0_0422,97.434,52.2,-,-
141,G1_0150,M,G0_1314,G0_0266,95.986,52.0,-,-
259,G1_0274,F,G0_0517,G0_1650,95.284,51.8,-,-
118,G1_0127,M,G0_1318,G0_1098,94.976,51.6,-,-
70,G1_0076,F,G0_1387,G0_0422,94.719,51.4,-,-
175,G1_0185,F,G0_1318,G0_0615,94.164,51.2,-,-
345,G1_0363,F,G0_1683,G0_1193,93.424,51.0,-,-
380,G1_0400,M,G0_1387,G0_0950,93.127,50.8,-,-
385,G1_0405,M,G0_0332,G0_1333,93.004,50.6,-,-
86,G1_0093,F,G0_0198,G0_1129,92.812,50.4,-,-
373,G1_0392,F,G0_0167,G0_1320,92.473,50.2,-,-
279,G1_0296,F,G0_0166,G0_1167,92.414,50.0,-,-
476,G1_0506,F,G0_1157,G0_1686,92.19,49.8,-,-
415,G1_0436,F,G0_0826,G0_1420,92.092,49.6,-,-
197,G1_0209,M,G0_0628,G0_1926,92.001,49.4,-,-
264,G1_0280,F,G0_0610,G0_1446,91.804,49.2,-,-
88,G1_0095,M,G0_0596,G0_0364,91.062,49.0,-,-
49,G1_0053,M,G0_0846,G0_0384,90.367,48.8,-,-
449,G1_0477,M,G0_0473,G0_0440,90.245,48.6,-,-
400,G1_0420,M,G0_0766,G0_1088,90.144,48.4,-,-
349,G1_0367,M,G0_1614,G0_0598,89.618,48.2,-,-
137,G1_0146,F,G0_0914,G0_1921,89.46,48.0,-,-
315,G1_0333,F,G0_0517,G0_1650,89.172,47.8,-,-
487,G1_0518,M,G0_1356,G0_1739,87.942,47.6,-,-
309,G1_0327,F,G0_0517,G0_1650,87.032,47.4,-,-
398,G1_0418,M,G0_0235,G0_1963,86.473,47.2,-,携带
482,G1_0513,F,G0_0332,G0_0018,86.137,47.0,-,-
42,G1_0046,F,G0_1318,G0_1909,84.787,46.8,-,-
145,G1_0154,F,G0_0517,G0_1225,84.42,46.6,-,-
375,G1_0394,M,G0_1923,G0_1966,84.087,46.4,-,-
410,G1_0431,F,G0_1464,G0_1967,84.075,46.2,-,携带
360,G1_0378,F,G0_0166,G0_1666,83.448,46.0,-,携带
15,G1_0016,M,G0_1387,G0_1605,83.214,45.8,-,-
402,G1_0422,M,G0_0342,G0_0370,82.937,45.6,-,-
43,G1_0047,F,G0_1419,G0_1301,82.451,45.4,-,-
497,G1_0528,F,G0_1419,G0_0101,82.176,45.2,-,-
218,G1_0231,F,G0_0517,G0_1650,81.235,45.0,-,-
213,G1_0226,M,G0_0841,G0_0248,81.147,44.8,-,-
408,G1_0429,F,G0_0166,G0_1096,80.785,44.6,-,-
132,G1_0141,M,G0_1318,G0_0111,79.94,44.4,-,-
473,G1_0503,M,G0_1510,G0_0661,79.832,44.2,携带,-
403,G1_0423,M,G0_1061,G0_0113,79.709,44.0,-,-
6,G1_0007,M,G0_0296,G0_0141,79.636,43.8,-,-
250,G1_0265,F,G0_0993,G0_1016,78.648,43.6,-,携带
268,G1_0284,M,G0_0826,G0_1420,78.558,43.4,-,-
439,G1_0464,M,G0_0235,G0_1963,78.257,43.2,-,-
164,G1_0174,M,G0_1614,G0_0598,76.71,43.0,-,-
243,G1_0257,M,G0_1051,G0_0264,76.021,42.8,-,-
211,G1_0223,M,G0_0628,G0_1433,75.094,42.6,-,-
214,G1_0227,M,G0_0846,G0_0384,74.792,42.4,-,-
104,G1_0112,M,G0_1978,G0_1860,74.684,42.2,-,-
426,G1_0449,F,G0_0166,G0_0135,74.571,42.0,-,-
89,G1_0096,F,G0_1061,G0_0113,74.569,41.8,-,-
54,G1_0059,F,G0_0523,G0_0507,73.843,41.6,-,-
147,G1_0156,M,G0_1464,G0_1967,73.457,41.4,携带,携带
453,G1_0481,M,G0_0846,G0_0263,72.551,41.2,-,-
446,G1_0474,F,G0_0332,G0_1333,71.929,41.0,-,-
277,G1_0294,M,G0_1978,G0_1538,71.421,40.8,-,-
466,G1_0496,M,G0_0846,G0_0384,71.108,40.6,-,-
498,G1_0529,M,G0_1315,G0_1924,70.756,40.4,-,携带
71,G1_0077,M,G0_1614,G0_0574,70.479,40.2,-,-
435,G1_0460,M,G0_1597,G0_1892,69.736,40.0,-,-
81,G1_0088,F,G0_0846,G0_0411,69.485,39.8,-,-
33,G1_0035,M,G0_1510,G0_0686,69.378,39.6,携带,-
362,G1_0380,F,G0_1614,G0_0019,69.35,39.4,-,-
399,G1_0419,F,G0_1978,G0_0285,68.894,39.2,-,-
17,G1_0018,M,G0_0120,G0_0053,68.061,39.0,携带,携带
189,G1_0201,M,G0_0304,G0_1375,68.05,38.8,-,-
245,G1_0259,M,G0_0846,G0_0263,68.034,38.6,-,-
311,G1_0329,M,G0_0914,G0_0874,67.713,38.4,-,-
313,G1_0331,M,G0_0766,G0_1491,67.528,38.2,携带,-
411,G1_0432,M,G0_0304,G0_1375,67.429,38.0,-,-
209,G1_0221,F,G0_0596,G0_0761,65.934,37.8,-,-
494,G1_0525,M,G0_0235,G0_1279,64.556,37.6,-,-
344,G1_0362,F,G0_0596,G0_0364,64.258,37.4,-,-
23,G1_0024,F,G0_0576,G0_1888,63.939,37.2,-,-
223,G1_0236,F,G0_0296,G0_0316,63.894,37.0,-,-
254,G1_0269,M,G0_1061,G0_1199,62.291,36.8,-,-
93,G1_0101,M,G0_0523,G0_1740,61.986,36.6,-,-
358,G1_0376,M,G0_0120,G0_0116,61.492,36.4,-,携带
438,G1_0463,M,G0_0576,G0_1888,61.337,36.2,-,-
275,G1_0291,F,G0_0576,G0_1197,60.873,36.0,-,-
443,G1_0469,F,G0_0167,G0_1320,60.358,35.8,-,-
328,G1_0346,F,G0_1314,G0_0266,59.761,35.6,-,-
263,G1_0279,M,G0_1315,G0_1305,59.71,35.4,-,携带
423,G1_0445,F,G0_1318,G0_1098,58.643,35.2,-,-
356,G1_0374,M,G0_0342,G0_0370,58.373,35.0,-,-
174,G1_0184,F,G0_1356,G0_0762,58.15,34.8,-,-
