rank,sire,sire_gebv,dam,dam_gebv,expected_progeny_gebv,expected_progeny_F,carrier_note
1,G0_0181,331.13,G0_0780,339.42,335.27,-0.002,
2,G0_0181,331.13,G0_0034,294.1,312.62,0.0208,
3,G0_0181,331.13,G0_1080,281.95,306.54,0.0414,
4,G0_0181,331.13,G0_1120,276.84,303.99,0.028,
5,G0_0181,331.13,G0_1651,266.12,298.63,0.0448,
6,G0_0181,331.13,G0_1239,263.25,297.19,-0.0189,
7,G0_0181,331.13,G0_1803,255.44,293.29,0.0146,
8,G0_0181,331.13,G0_0631,253.29,292.21,0.0474,
9,G0_1894,255.15,G0_0394,241.13,248.14,-0.0048,
10,G0_1894,255.15,G0_1333,240.6,247.87,-0.0058,
11,G0_1894,255.15,G0_1561,236.79,245.97,-0.0029,母本LR2携带
12,G0_1894,255.15,G0_1193,236.43,245.79,-0.019,
13,G0_1894,255.15,G0_0435,227.26,241.21,-0.0196,母本LR1携带
14,G0_1894,255.15,G0_1571,225.47,240.31,0.0046,母本LR1携带
15,G0_1894,255.15,G0_1298,223.94,239.55,0.0143,
16,G0_1894,255.15,G0_1991,221.97,238.56,-0.0138,
17,G0_0413,244.65,G0_1457,221.79,233.22,0.0096,母本LR2携带
18,G0_0413,244.65,G0_1950,220.65,232.65,0.0074,母本LR2携带
19,G0_0413,244.65,G0_0980,220.07,232.36,0.0288,
20,G0_0413,244.65,G0_0590,219.59,232.12,0.0261,
21,G0_0413,244.65,G0_0708,218.45,231.55,0.0146,
22,G0_0413,244.65,G0_0842,216.95,230.8,-0.0249,
23,G0_0413,244.65,G0_0100,215.73,230.19,-0.0139,母本LR2携带
24,G0_0413,244.65,G0_0065,213.73,229.19,0.0551,
25,G0_0260,242.11,G0_0207,210.47,226.29,0.0326,母本LR2携带
26,G0_0260,242.11,G0_0676,208.64,225.37,0.0029,母本LR2携带
27,G0_0260,242.11,G0_1136,205.21,223.66,-0.0117,
28,G0_0260,242.11,G0_1605,202.77,222.44,0.0177,
29,G0_0260,242.11,G0_1666,200.86,221.49,-0.0269,母本LR2携带
30,G0_0260,242.11,G0_0502,194.99,218.55,-0.0148,
31,G0_0260,242.11,G0_1899,194.82,218.46,-0.0084,
32,G0_0260,242.11,G0_0061,192.13,217.12,0.0049,母本LR2携带
33,G0_1312,239.35,G0_0364,190.84,215.1,-0.013,父本LR1携带
34,G0_1312,239.35,G0_1995,188.53,213.94,0.0295,父本LR1携带
35,G0_1312,239.35,G0_0567,185.33,212.34,0.0069,父本LR1携带
36,G0_1312,239.35,G0_1888,182.12,210.73,-0.0504,父本LR1携带
37,G0_1312,239.35,G0_1800,181.87,210.61,-0.033,父本LR1携带
38,G0_1312,239.35,G0_1375,181.12,210.24,0.0021,父本LR1携带
39,G0_1312,239.35,G0_1364,179.04,209.19,-0.0119,父本LR1携带
40,G0_1312,239.35,G0_0989,177.79,208.57,0.0603,父本LR1携带
41,G0_0148,219.96,G0_0686,196.13,208.05,-0.0077,
