idx,id,sex,sire,dam,gebv,gebv_percentile,carrier_LR1,carrier_LR2
779,G0_0780,F,,,339.417,100.0,-,-
180,G0_0181,M,,,331.133,100.0,-,-
33,G0_0034,F,,,294.104,99.9,-,-
1079,G0_1080,F,,,281.952,99.8,-,-
1119,G0_1120,F,,,276.844,99.8,-,-
1650,G0_1651,F,,,266.119,99.8,-,-
1238,G0_1239,F,,,263.252,99.7,-,-
1802,G0_1803,F,,,255.44,99.6,-,-
1893,G0_1894,M,,,255.151,99.6,-,-
630,G0_0631,F,,,253.286,99.6,-,-
412,G0_0413,M,,,244.649,99.5,-,-
259,G0_0260,M,,,242.109,99.4,-,-
393,G0_0394,F,,,241.128,99.4,-,-
1332,G0_1333,F,,,240.597,99.4,-,-
1311,G0_1312,M,,,239.351,99.3,携带,-
1560,G0_1561,F,,,236.794,99.2,-,携带
1192,G0_1193,F,,,236.431,99.2,-,-
434,G0_0435,F,,,227.26,99.2,携带,-
1570,G0_1571,F,,,225.472,99.1,携带,-
1297,G0_1298,F,,,223.943,99.0,-,-
1990,G0_1991,F,,,221.975,99.0,-,-
1456,G0_1457,F,,,221.786,99.0,-,携带
1949,G0_1950,F,,,220.645,98.9,-,携带
979,G0_0980,F,,,220.066,98.8,-,-
147,G0_0148,M,,,219.963,98.8,-,-
589,G0_0590,F,,,219.589,98.8,-,-
318,G0_0319,M,,,219.413,98.7,-,-
707,G0_0708,F,,,218.453,98.6,-,-
1682,G0_1683,M,,,218.301,98.6,-,-
840,G0_0841,M,,,217.503,98.6,-,-
841,G0_0842,F,,,216.947,98.5,-,-
99,G0_0100,F,,,215.731,98.4,-,携带
1220,G0_1221,M,,,215.568,98.4,-,-
204,G0_0205,M,,,214.6,98.4,-,-
64,G0_0065,F,,,213.73,98.3,-,-
1743,G0_1744,M,,,213.25,98.2,-,-
768,G0_0769,M,,,212.25,98.2,-,携带
508,G0_0509,M,,,212.233,98.2,-,-
206,G0_0207,F,,,210.466,98.1,-,携带
728,G0_0729,M,,,209.275,98.0,-,-
166,G0_0167,M,,,208.925,98.0,-,-
675,G0_0676,F,,,208.636,98.0,-,携带
